City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,burang,30.25,81.1667,276.76,64,98,1.04,CN,1715282628
353,crane,31.3974,-102.3501,304.12,12,0,8.27,US,1715282629
354,garden city,42.3256,-83.331,288.61,84,100,3.6,US,1715282610
355,callao,-12.0667,-77.15,292.31,82,40,4.12,PE,1715282631
356,pisco,-13.7,-76.2167,293.16,82,40,3.6,PE,1715282457
357,wailea,19.8858,-155.123,298.21,86,100,0.0,US,1715282443
358,pangody,65.85,74.4859,273.92,98,100,11.6,RU,1715282635
359,constantia,44.1833,28.65,284.65,69,99,5.2,RO,1715282636
360,vilyuysk,63.7553,121.6247,269.26,83,15,3.13,RU,1715282637
361,wenchang,30.904,118.4887,289.74,81,10,1.85,CN,1715282638
